1	396
2,201	801
3,4	1441
4,601	1931
5,801	2288
7,001	2625
8,201	2790
9,4	3094
10,601	3144
11,801	3296
13	3251
14,201	3258
15,401	3100
16,6	2690
17,8	2361
19,001	1859
20,2	1344
21,401	797
22,601	354
23,801	186
25,001	124
26,201	83
27,4	30
28,601	20
29,801	20
31	9
32,201	5
33,401	4
34,6	1
35,8	6
37	4
38,201	3
39,4	3
40,6	5
41,801	3
43	4
44,201	2
45,4	8
46,6	8
47,801	6
49,001	2
50,2	4
51,401	6
52,6	3
53,8	8
55,001	6
56,201	5
57,4	6
58,6	9
59,801	6
61,001	5
62,201	6
63,401	5
64,601	6
65,801	3
67	6
68,2	6
69,4	5
70,6	10
71,8	7
73	18
74,2	6
75,401	5
76,602	12
77,8	15
79	8
80,201	7
81,4	13
82,6	9
83,801	10
84,999	11
86,2	19
87,4	14
88,6	22
89,8	25
91	40
92,201	41
93,4	44
94,6	50
95,8	44
97	56
98,2	59
99,401	62
100,601	62
101,801	59
103	53
104,2	54
105,4	55
106,6	80
107,8	54
109	62
110,2	89
111,4	59
112,6	61
113,8	70
115	94
116,2	112
117,4	136
118,6	95
119,801	99
121,001	69
122,201	88
123,401	82
124,601	66
125,8	94
127	62
128,201	82
129,4	86
130,6	148
131,801	267
133	270
134,201	181
135,401	124
136,601	96
137,802	78
139	58
140,201	75
141,4	77
142,6	58
143,801	68
145,001	54
146,2	52
147,4	64
148,601	59
149,8	53
151,001	42
152,201	62
153,401	55
154,601	51
155,801	42
157,001	46
158,201	58
159,4	37
160,601	40
161,801	33
163	39
164,2	52
165,4	30
166,6	32
167,8	33
169	37
170,2	31
171,4	32
172,6	39
173,8	33
175,001	27
176,201	31
177,4	25
178,601	23
179,801	21
181	22
182,201	24
183,401	25
184,6	18
185,8	19
187	22
188,2	22
189,4	24
190,601	27
191,8	23
193	15
194,201	19
195,401	22
196,601	26
197,801	15
199,001	20
200,2	16
201,4	17
202,6	21
203,8	21
205,001	17
206,2	19
207,4	26
208,601	16
209,801	16
211,001	20
212,2	24
213,4	19
214,601	16
215,8	17
217	19
218,2	22
219,401	21
220,601	22
221,8	22
223	14
224,2	17
225,401	20
226,601	13
227,801	23
229,001	19
230,2	27
231,399	17
232,601	13
233,801	15
235	18
236,2	14
237,401	14
238,6	22
239,801	21
241	17
242,201	10
243,4	14
244,601	20
245,801	19
247,001	23
248,201	31
249,4	34
250,601	25
251,8	23
253	16
254,201	20
255,4	18
256,601	23
257,8	17
259,001	18
260,201	16
261,4	20
262,6	22
263,801	17
265,001	14
266,2	17
267,401	24
268,6	12
269,801	23
271,001	23
272,2	16
273,4	15
274,6	18
275,801	17
277	18
278,201	19
279,401	31
280,601	50
281,799	62
283	65
284,2	72
285,4	38
286,6	37
287,8	22
289	16
290,201	19
291,401	19
292,6	11
293,801	17
295,001	23
296,201	17
297,4	15
298,601	17
299,801	13
301	16
302,201	22
303,4	14
304,6	17
305,8	18
307	21
308,201	11
309,4	20
310,601	14
311,801	14
313	14
314,199	19
315,4	16
316,601	13
317,801	17
319	18
320,2	22
321,4	12
322,601	15
323,8	9
325,001	15
326,2	14
327,401	11
328,601	17
329,801	12
331,001	7
332,2	15
333,4	9
334,6	7
335,801	11
337	11
338,201	11
339,4	9
340,6	8
341,8	7
343	3
344,2	15
345,401	11
346,601	13
347,8	16
349,001	10
350,201	11
351,4	8
352,601	10
353,8	15
355,001	13
356,2	10
357,401	10
358,6	13
359,8	14
361,001	12
362,2	10
363,4	15
364,6	12
365,801	8
367	9
368,201	11
369,4	13
370,6	10
371,8	5
373	11
374,201	7
375,401	9
376,6	11
377,8	10
379	6
380,2	7
381,4	10
382,6	11
383,8	12
385,001	10
386,2	12
387,401	5
388,601	14
389,801	9
391,001	9
392,2	9
393,4	10
394,6	10
395,8	3
397,001	8
398,201	10
399,401	11
400,601	11
401,801	10
403	9
404,2	11
405,401	6
406,601	7
407,801	8
409	3
410,2	11
411,4	8
412,6	8
413,801	10
415,001	11
416,2	6
417,4	7
418,601	10
419,801	11
421	5
422,2	8
423,401	2
424,601	4
425,801	8
427,001	9
428,2	8
429,4	8
430,601	6
431,8	4
433	8
434,201	8
435,401	8
436,6	5
437,801	2
439,001	8
440,2	10
441,4	15
442,601	15
443,8	21
445,001	21
446,201	13
447,401	17
448,6	4
449,801	8
451,001	6
452,201	9
453,399	6
454,6	5
455,8	8
457	9
458,201	4
459,401	11
460,6	6
461,801	8
463,001	6
464,201	6
465,4	4
466,6	5
467,801	6
469	6
470,201	4
471,401	4
472,6	7
473,8	2
475	7
476,2	4
477,4	3
478,601	6
479,801	10
481,001	6
482,2	9
483,4	3
484,6	2
485,801	8
487	5
488,2	8
489,401	1
490,6	3
491,801	8
493,001	9
494,2	6
495,403	2
496,6	3
497,8	3
499	8
500,2	5
501,401	10
502,601	10
503,801	0
505,001	3
506,2	5
507,4	7
508,6	5
509,801	9
511	7
512,201	8
513,401	6
514,6	3
515,8	5
517,001	3
518,201	6
519,4	3
520,6	7
521,8	4
522,999	8
524,2	4
525,4	3
526,601	7
527,801	6
529	4
530,2	8
531,4	7
532,6	2
533,8	8
535	4
536,2	5
537,401	2
538,601	9
539,801	9
541,001	4
542,2	4
543,401	10
544,601	5
545,8	6
547	6
548,2	4
549,4	13
550,6	3
551,801	12
553	8
554,1	2
555,3	10
556,5	6
557,701	2
558,901	4
560,1	2
561,301	6
562,501	4
563,7	6
564,901	6
566,1	4
567,601	7
568,8	2
570	6
571,201	2
572,4	1
573,601	1
574,8	8
576,001	2
577,2	1
